timestamp,open,high,low,close,volume
2019-11-25,55.3200,56.1700,54.8550,55.8400,1849286
2019-11-22,54.1900,55.3000,53.7500,54.2000,1029525
2019-11-21,55.4600,55.4600,52.8515,53.7700,963275
2019-11-20,55.2400,58.3099,53.3900,54.8800,2260907
2019-11-19,57.4500,57.5560,53.7600,56.0000,1598494
2019-11-18,60.0000,60.0000,55.5200,57.0700,2243460
2019-11-15,53.0000,59.9900,53.0000,59.7500,4025799
2019-11-14,51.3100,54.9200,50.6428,52.7300,2834077
2019-11-13,46.8300,52.4400,46.6500,52.0000,2868214
2019-11-12,47.5000,47.8500,46.1100,47.0500,1740792
2019-11-11,46.5000,47.0000,45.4600,46.2000,1287808
2019-11-08,45.0200,47.2100,44.8000,47.2100,1980150
2019-11-07,48.2600,48.5000,45.3800,45.5000,1669002
2019-11-06,48.5600,48.7100,46.9000,47.8300,1028805
2019-11-05,50.1800,50.6000,47.7700,48.7000,1468191
2019-11-04,49.1500,50.4832,48.0100,49.6500,1311746
2019-11-01,49.9400,50.8473,47.7500,48.5000,1441265
2019-10-31,51.2000,51.6400,48.1000,49.9100,1052905
2019-10-30,47.7200,52.4800,46.7800,51.4450,2224354
2019-10-29,47.4300,48.3700,46.2100,47.8000,1740730
2019-10-28,50.2600,51.3115,47.7100,47.9500,2758159
2019-10-25,50.8800,52.0700,49.4100,50.1100,1532804
2019-10-24,48.6000,52.1800,48.1100,51.8400,2050992
2019-10-23,47.0000,50.4300,46.0300,47.8700,3707978
2019-10-22,47.2500,48.4800,44.5810,46.2000,2707238
2019-10-21,46.9300,48.9700,46.2203,47.4000,2404175
2019-10-18,50.0000,50.3200,46.4600,47.0400,3669054
2019-10-17,51.7600,53.1500,50.3300,50.4400,2785744
2019-10-16,53.5700,55.7700,51.8000,52.0300,2597819
2019-10-15,55.0100,56.4100,54.0301,55.2100,1982381
2019-10-14,55.8000,57.8500,53.2000,54.5200,4458071
2019-10-11,58.7700,61.4800,57.2700,60.2700,3335811
2019-10-10,62.6000,63.6100,60.4000,61.4100,2306927
2019-10-09,66.3500,66.4300,62.5000,63.0800,2207773
2019-10-08,67.4000,68.4300,64.4800,65.3000,2766793
2019-10-07,63.3600,69.7000,62.7200,68.7800,3621793
2019-10-04,62.0000,64.4600,61.5500,63.8400,2157446
2019-10-03,59.4800,62.4000,56.7540,62.1400,5076359
2019-10-02,56.8050,57.6600,54.0700,56.6300,1589815
2019-10-01,58.3000,59.5100,55.6500,57.8900,2841737
2019-09-30,53.5000,58.6500,51.6100,58.3100,4104029
2019-09-27,58.2700,58.3300,52.8400,53.4600,4516813
2019-09-26,62.0500,62.3600,57.6600,58.3000,2892188
2019-09-25,62.0000,63.3900,60.1100,62.0200,2466798
2019-09-24,67.0200,67.3700,62.0000,62.5200,2615966
2019-09-23,67.1200,68.5700,66.5400,66.9100,826629
2019-09-20,68.9500,69.4580,66.1900,66.9700,3374383
2019-09-19,71.5000,71.8700,67.6400,68.9300,1690628
2019-09-18,70.1200,71.8789,68.8000,70.8500,2003010
2019-09-17,68.6400,71.3342,68.1301,71.0400,2820589
2019-09-16,63.7100,68.8600,63.5000,67.8600,2804534
2019-09-13,69.8600,70.3100,64.7100,64.8600,4166281
2019-09-12,69.6800,72.4000,69.0600,69.6600,2923450
2019-09-11,69.2100,70.9300,67.2000,69.1100,3113980
2019-09-10,65.7000,71.8000,65.7000,71.6500,4672469
2019-09-09,76.1050,76.1184,64.3400,67.1000,8598237
2019-09-06,79.7000,81.5000,75.3050,75.9800,8672342
2019-09-05,86.2500,87.1900,82.5000,86.8500,3971133
2019-09-04,85.0000,87.7700,82.8900,85.3100,2412963
2019-09-03,80.8500,83.8000,80.2517,83.7600,1832813
2019-08-30,84.0200,84.9400,78.8900,81.2800,1910152
2019-08-29,88.3000,89.3463,83.2900,83.8200,1789971
2019-08-28,84.0000,87.5244,82.6141,86.9900,1917686
2019-08-27,89.2800,89.9500,83.2337,84.0800,1828841
2019-08-26,90.2400,90.8400,86.1300,88.8800,1463680
2019-08-23,91.3700,91.5600,86.0000,88.4300,3050846
2019-08-22,96.2900,96.5800,92.8000,92.9700,1767533
2019-08-21,100.5900,100.9600,96.2701,96.5800,1805604
2019-08-20,99.2300,101.8800,97.2600,99.1600,1439345
2019-08-19,98.8000,101.4799,95.6000,99.3900,2801463
2019-08-16,95.0000,98.1000,93.4000,96.0500,1530550
2019-08-15,95.9900,97.1400,91.3701,93.6600,1520342
2019-08-14,96.5200,97.7300,91.6000,94.0200,2822881
2019-08-13,92.8400,100.5000,92.8400,99.6500,3034908
2019-08-12,94.2500,98.2000,91.5300,93.0100,1895649
2019-08-09,90.2500,98.0000,90.0000,94.9000,3063879
2019-08-08,85.4900,91.8600,85.4900,91.6500,1692269
2019-08-07,83.6900,86.4500,82.8000,84.2200,990406
2019-08-06,87.2000,89.7600,82.7100,85.2400,1357428
2019-08-05,83.3400,86.9200,82.2500,85.4800,2196373
2019-08-02,91.5400,92.7800,86.9100,88.0100,1801007
2019-08-01,90.0700,94.3200,89.4389,91.5300,2238247
2019-07-31,94.0000,94.8011,86.8167,89.0700,2475977
2019-07-30,86.0000,96.1900,84.0000,94.0000,3127169
2019-07-29,93.6900,93.9000,82.6500,87.2300,3317799
2019-07-26,93.0400,95.5000,91.9100,92.8800,2053022
2019-07-25,87.5000,93.3390,87.0000,92.2800,3270376
2019-07-24,86.7900,87.8500,85.5000,87.4600,1250712
2019-07-23,88.3200,89.4400,84.4900,86.7400,2529779
2019-07-22,82.2700,88.5000,82.0800,87.6800,5357744
2019-07-19,85.1600,85.8500,80.7500,83.5200,13669036
2019-07-18,71.0000,74.1900,70.1500,72.7500,3389964
2019-07-17,70.0000,71.5600,69.5900,71.0000,1037007
2019-07-16,71.9300,73.0873,69.0000,69.5400,1582319
2019-07-15,74.0000,74.2950,71.4000,71.6000,1325082
2019-07-12,71.6000,75.2000,70.5000,73.5000,1838306
2019-07-11,74.5000,74.9800,70.5000,70.8800,2351834
2019-07-10,70.0000,74.5000,69.5000,74.3400,2719347
2019-07-09,67.4200,69.2000,66.8800,68.4500,1782694
2019-07-08,68.2600,71.7146,66.9000,66.9100,4567154
2019-07-05,67.1500,67.2500,64.8400,67.2100,805222
2019-07-03,64.6800,67.4800,64.5200,67.2400,1564108
2019-07-02,63.3000,65.0300,61.7211,64.5200,1738845
2019-07-01,69.1000,69.7290,61.8100,63.2000,2675367
2019-06-28,64.3600,68.3800,63.3000,68.2900,1474303
2019-06-27,63.3900,64.9950,62.5710,63.2800,914612
2019-06-26,63.3000,64.9200,62.0050,62.6500,1625502
2019-06-25,67.1000,68.9900,61.1700,61.5200,2482213
2019-06-24,71.0500,72.3900,65.0800,67.9700,2448037
2019-06-21,72.4600,73.9278,68.3000,72.2300,2657468
2019-06-20,78.0000,78.2200,70.6900,74.8500,3429610
2019-06-19,78.7500,79.7900,73.5550,77.2200,3319070
2019-06-18,73.0000,78.7000,71.5000,76.5000,6612626
2019-06-17,64.7500,70.0100,62.0000,70.0100,3247471
2019-06-14,69.7800,70.7900,63.0201,64.1600,6264212
2019-06-13,63.8600,69.6700,61.6000,67.5600,10923944
2019-06-12,63.5000,67.0000,56.0000,58.0000,19449162
